Player,Position,Age,Market Value,Nationality,Joined Club,Joined League,Transfer Fee
Jordan Veretout,Central Midfield,31,EUR15.00m,France,Olympique Lyon,Ligue 1,EUR4.00m
Andrea Pinamonti,Centre-Forward,25,EUR15.00m,Italy,Genoa,Serie A,Loan fee:EUR2.00m
Yacine Adli,Defensive Midfield,24,EUR15.00m,France,Fiorentina,Serie A,Loan fee:EUR1.50m
Valentin Carboni,Attacking Midfield,19,EUR15.00m,Argentina,Marseille,Ligue 1,Loan fee:EUR1.00m
Fabio Miretti,Central Midfield,21,EUR15.00m,Italy,Genoa,Serie A,loan transfer
Ilkay Gundogan,Central Midfield,33,EUR15.00m,Germany,Man City,Premier League,free transfer
Albert Sambi Lokonga,Central Midfield,24,EUR15.00m,Belgium,Sevilla FC,LaLiga,loan transfer
Nuno Tavares,Left-Back,24,EUR15.00m,Portugal,Lazio,Serie A,loan transfer
Che Adams,Centre-Forward,28,EUR15.00m,Scotland,Torino,Serie A,free transfer
Reiss Nelson,Right Winger,24,EUR15.00m,England,Fulham,Premier League,loan transfer
Callum Doyle,Centre-Back,20,EUR15.00m,England,Norwich,Championship,loan transfer
Gabriel Moscardo,Defensive Midfield,18,EUR15.00m,Brazil,Stade Reims,Ligue 1,loan transfer
Romain Faivre,Right Midfield,26,EUR15.00m,France,Stade Brestois,Ligue 1,loan transfer
Fabio Carvalho,Attacking Midfield,21,EUR14.00m,Portugal,Brentford,Premier League,EUR23.40m
Ezequiel Fernandez,Defensive Midfield,22,EUR14.00m,Argentina,Al-Qadsiah,Saudi Pro League,EUR18.70m
Vitinha,Centre-Forward,24,EUR14.00m,Portugal,Genoa,Serie A,EUR16.00m
Moise Kean,Centre-Forward,24,EUR14.00m,Italy,Fiorentina,Serie A,EUR13.00m
Moatasem Al-Musrati,Defensive Midfield,28,EUR14.00m,Libya,Besiktas,Super Lig,EUR11.00m
Nicolo Casale,Centre-Back,26,EUR14.00m,Italy,Bologna,Serie A,Loan fee:EUR1.50m
Rafa,Second Striker,31,EUR14.00m,Portugal,Besiktas,Super Lig,free transfer
Bryan Gil,Left Winger,23,EUR14.00m,Spain,Girona,LaLiga,loan transfer
Cameron Archer,Centre-Forward,22,EUR13.00m,England,Southampton,Premier League,EUR17.60m
Cameron Archer,Centre-Forward,22,EUR13.00m,England,Aston Villa,Premier League,EUR16.65m
Samuel Iling-Junior,Left Winger,20,EUR13.00m,England,Aston Villa,Premier League,EUR14.00m
Mandela Keita,Defensive Midfield,22,EUR13.00m,Belgium,Parma,Serie A,EUR12.00m
Ramon Sosa,Left Winger,24,EUR13.00m,Paraguay,Nottm Forest,Premier League,EUR12.00m
Mandela Keita,Defensive Midfield,22,EUR13.00m,Belgium,Royal Antwerp,Jupiler Pro League,EUR5.00m
Daniel Podence,Right Winger,28,EUR13.00m,Portugal,Al-Shabab,Saudi Pro League,EUR5.00m
Nehuen Perez,Centre-Back,24,EUR13.00m,Argentina,FC Porto,Liga Portugal,Loan fee:EUR4.08m
Valentin Barco,Left-Back,20,EUR13.00m,Argentina,Sevilla FC,LaLiga,loan transfer
